id,relative_path,stem_name,md_content,update_date
1,Kendo Channels.md,Kendo Channels,"- 月刊剣道日本 付録動画
    - https://www.youtube.com/@月刊剣道日本付録動画
- The way of the Namiashi Kendo, the Samurai Methods
    - https://www.youtube.com/@kendo_namiashi_dokkodo
- 梶谷彪雅-剣道KENDO-
    - https://www.youtube.com/@-kendo-9265
",2026-08-06T20:04:33-07:00
2,Terminology/Terminology.md,Terminology,"## Terminology and their understanding

- Kendo iroha
    - https://kenshi247.net/blog/2023/03/08/kendo-iroha/
",2026-08-06T20:04:33-07:00
3,Kendo store.md,Kendo store,"## Kendo equipment store

- Maruyama Kendo supply
    - https://maruyamakendosupply.com/
- E-bogu
    - https://www.e-bogu.com/
- California Budogu
    - https://californiabudogu.com/
- Hokubei budogu
    - https://www.usakendo.com/
- Kendo Star
    - https://kendostar.com/
- Tozando
    - https://tozandoshop.com/
- Bodogu zen
    - https://budogu-zen.ca/
- All Japan budogu
    - https://alljapanbudogu.world/
- Nine circles
    - https://www.ninecircles.co.uk/
- AJKF Online Shop
    - https://zenkenren-shop.com/
- Seido
    - https://www.seidoshop.com/
- Bugutaira
    - https://bugutairashop.shop-pro.jp/
- Bambooken Ontario
    - https://bambooken.com/


## Before you buy, please check

- location of the store
- shipping fee/time/customs duty
- customers' comments
- materials
- design aesthetics that you like
- the support language

---

## Other list

- Kendo Jidai's list
    - https://kendojidai.com/kendo-shop/
",2026-08-06T20:04:33-07:00
33,Ashisabaki/Ashisabaki.md,Ashisabaki,# 足捌き ashisabaki,2026-08-06T20:10:18-07:00
34,BKKK/BKKK.md,BKKK,"
## Why we need to know the English and Japnease terms used in Kata and BKKK

- for communication
- for understanding the meaning behind each word
- for practical usage, not for building a dictionary



## BKKK basic terms

- 木刀による剣道基本技稽古法　Bokuto-ni-yoru Kendo Kihon-waza Keiko-ho
- 基本　Kihon
- 技　Waza
- 構え　Kamae
- 目付け　Metsuke
- 間合　Maai
- 一足一刀の間合　Issoku-itto-no-maai
- 打突　Datotsu
- 手の内　Tenouchi
- 刃筋　Hasuji
- 物打ち　Monouchi
- 足さばき　Ashi-sabaki
- 送り足　Okuri-ashi
- すり足　Suri-ashi
- 掛け声　Kakegoe
- 発声　Hassei
- 残心　Zanshin
- 元立ち　Moto-dachi
- 掛り手　Kakari-te



## BKKK 立会　Tachi-ai

- 上座　Kamiza
- 正面　Shomen
- 下座　Shimoza
- 正座　Seiza
- 座礼　Zarei
- 立会の間合　Tachiai-no-maai
- 提刀　Teito
- 帯刀　Taito
- 柄頭　Tsuka-gashira
- 蹲踞　Sonkyo
- 横手交差　Yokote-kosa
- 中段の構え　Chudan-no-kamae
- 鍔元　Tsuba-moto
- 剣先　Kensen



## BKKK 基本１

- 一本うちの技　Ippon-uchi-no-waza
- 正面　Shomen
- 小手　Kote
- 胴　Do
- 右胴　Migi-Do
- 突き　Tsuki




## BKKK 基本２

- 連続技　Renzoku-waza
- 二・三段の技　Ni/San-dan-no-waza
- 小手、面　Kote-men




## BKKK 基本３

- 払い技　Harai-waza
- 払い面　Harai-men
- 表　Omote




## BKKK 基本４

- 引き技　Hiki-waza
- 引き胴　Hiki-do
- 右胴　Migi-Do




## BKKK 基本５

- 抜き技　Nuki-waza
- 面抜き胴　Men-nuki-do
- 右胴　Migi-Do




## BKKK 基本６

- すりあげ技　Suriage-waza
- 小手すりあげ面　Kote-suriage-men
- 裏　Ura
- Zanshin of this waza is both side take one step back to Kamae.




## BKKK 基本７

- でばな技　Debana-waza
- 出鼻技
- 出ばな小手　Debana-kote




## BKKK 基本８

- 返し技　Kaeshi-waza
- 面返し胴　Men-kaeshi-do
- 右胴　Migi-Do




## BKKK 基本９

- 打ち落とし技　Uchi-otoshi-waza
- 胴打ち落とし面　Do-uchiotoshi-men
- 右胴　Migi-Do


",2026-08-06T20:10:18-07:00
6,Jodan/Jodan.md,Jodan,,2026-08-06T20:04:33-07:00
35,Kata/Kata.md,Kata,"## Kata basic terms

- 方剣道　Kata Kendo
- 竹刀剣道　Shinai Kendo
- 打太刀　Uchidachi
- 仕太刀　Shidachi
- 間合　Maai
- 気位　Kigurai
- 理合い　Riai
- 緩急強弱　Kan-kyu-kyo-jaku
- ヤー　Yah
- トー　Too
- 残心　Zan-shin
- 一拍子　Ichi-byoushi
- 冴え　Sa-e
- 手の内　Te-no-uchi
- 面　Men
- 小手　Kote
- 籠手　Kote
- 甲手　Kote
- 胴　Do



## Kata 礼法 Rei-hou

- 礼　Rei
- 座礼　Zarei
- 正座　Seiza
- 上座　Kamiza
- 下座　Shimoza



## 立会　Tachiai

- 帯　Obi
- 蹲踞　Sonkyo
- すり足　Suri-ashi
- 半身　Hanmi



## 刀　Katana

- 木刀　Bokuto
- 刀身　To-shin
- 刃筋　Hasuji
- 鎬　Shinogi
- 物打ち　Monouchi
- 剣先　Kensen
- 切先　Kissaki
- 栗形　Kurigata
- 柄頭　Tsuka-gashira
- 物打ち　Mono-uchi
- 鍔元　Tsuba-moto
- 鎺　Habaki
- [Named parts of a katana](https://en.wikipedia.org/wiki/Katana#/media/File:Katana_(common_shema).png)
- [日本刀の部位名称](https://www.touken-world.jp/sword-structure/) In Japanese, more details




## 構え

- 身構え　Mi-gamae
- 心構え　Kokoro-gamae
- 気構え　Ki-gamae
- 五つの構え　Itsutsu-no-Kamae
- 五方の構え　Goho-no-Kamae
- 中段　Chudan
- 正眼　Seigan
- 上段　Jodan
- 霞の構え　Kasumi-no-Kamae
- 諸手左上段　Morote-Hidari-Jodan
- 諸手右上段　Morote-Migi-Jodan
- 下段　Gedan
- 八相　Hasso
- 脇構え　Wakigamae
- 左半身　Hidari-hanmi
- 目付け　Me-tsuke
- 丹田　Tanden
- 自然体　Shizentai




## 太刀 一本目 Ippon-me

- 切る　Kiru
- 抜く　Nuku



## 太刀 二本目 Nihon-me

- 斜めうち　Naname-uchi



## 太刀 三本目 Sanbon-me

- 相下段　Ai-gedan
- 気争い　Ki-arasoi
- 水月　Sui-getsu, Mizu-ochi
- 入れ突き　Ire-zukini
- 萎し　Nayashi
- 位詰め　Kurai-zume



## 太刀 四本目 Yonhon-me

- 相打ち　Ai-uchi
- 遠間　To-ma
- 切り結び　Kiri-musubi
- 捲き返す　Maki-kaesu



## 太刀 五本目

- すり上げ　Suri-age



## 太刀 六本目

- 攻め　Seme
- 払い　Harai



## 太刀 七本目

- 捨て身　Sute-mi
- 歩あし　Ayumi-ashi




## 小太刀

- 中段半身の構え　Chudan-hanmi-no-kamae
- 下段半身の構え　Gedan-hanmi-no-kamae



## 小太刀 一本目

- 入り身　Iri-mi
- 飛び込み　Tobi-komi
- 開く　Hiraku
	- ひらき方　Hiraki-kata
- 受け流し　Uke-nagashi



## 小太刀 二本目

- 攻め込む　Seme-komu
- 受け流し　Uke-nagashi



## 小太刀 三本目

- すりあげ
- すり落とし　Suri-otoshi
- すり流し　Suri-nagashi
- すり込む　Suri-komu


",2026-08-06T20:10:18-07:00
8,Nito/Nito.md,Nito,,2026-08-06T20:04:33-07:00
36,Warmup/Prepare.md,Prepare,"## Prepare Mindset

- Think about what we want to achieve today
- `What things I learnt from previous practices?`
- `What I want to improve or pay attention to today?`
- Be focused on the practice and listen carefully about the instructions, everytime we learn new things



## Check body condition

- Check if body is in good condition, muscles, arms, torso, legs, feet, etc.
- Check if we're hydrated.
- Tape the injured spot.




## Prepare your equipments before practice, check list


- Two or three Shinai (竹刀)
- check the Shinai condition
- Tsubadome (鍔止め)
- Bokuto, Tachi and Kotachi
- Gi and Hakama
- Tare and Do
- a pair of Kote, don't mix with two left Kote or two right Kote
- Men
- Tenugui
- Protectors




## Prepare water



## After practice

- Pack your Kendogu and Kote, keep then dry and clean
- Fold your Gi and Hakama, wash them if you want
- Wash and iron your Tenugui
- Check Shinai & Bokutou are in good conditions
- Check, think, and write down the **things learnt** today, for improving




",2026-08-06T20:10:18-07:00
10,Safety check/Safety.md,Safety,"## Safety of practice

- We don't want to get injured
- We don't want to injury our fellow practioners
- If people got injured it will take weeks or months to recover, and back to practice



## Check Shinai

- We should check our Shinai condition *before*, *after*, and *in* practice
- No cracks
- No fractures
- String (弦 つる) is tight
- 中結 is tight, and in correct position
- Kensen (剣先), tip of shinai is intact
- **Never** use a broken Shinai
- **Never** use a suspecious Shinai for Tsuki
- Pay some attention to your opponent's Shinai, if you find it's broken let them know and switch it



## Maintain Shinai

- Suggest to fully untie Shinai and check both inside and outside, many crasks are hidden inside
- Prepare at least **Two** Shinai, **Three** would be better
- Write your name or any identifier on Tsuka



## Protect Wrist and Elbow

- Especially the right wrist which is the target for Kote, and right elbow which is close to the right Do

- Tie the Do corectly to protect our torso
- Make sure the left side and right side are at the same height
- Make sure the Do Himo can firmly hold the Do

- For elbow and wrist, you can find protectors frm some Kendo supplier
- It's for people who got bruise frequently

- We should find the opportunity to strike the Do, not because we want to which will injure your friends.




## Kata and BKKK Safety

- It's hard for new practioners to control their Bokuto, so be careful of how they swing
- Keep enough distance between praction pairs, make sure they won't interfere and injury people nearby.



## Men pad

- Some people don't understand how to control their arm or hand power, so we may need Men pad
- Prevent concussion


",2026-08-06T20:04:33-07:00
11,Waza/Waza.md,Waza,"## Waza terms

- 表 Omote, mototachi no hidari
- 里 Ura, mototachi no migi
- 右 Migi, right
- 左 Hidari, left
- 身構え Migamae
- 気構え kigamae




## Ippon Uchi no Waza  一本打ちの技

- Men
- Kote
- Do
- Tsuki




## Shikake waza 仕掛け技




## Renzoku waza 二・三段の, 連続技

- Men-Men
- Kote-Men 小手・面
- Kote-Do
- Do-Men
- Men-Do 面・胴
- Kote-Men-Men 小手・面・面
- Kote-Men-Do 小手・面・胴
- Kote-Men-Do-Men
- 突き・面

Men can be both SHOMEN or SAYU-MEN




## Harai 払い技


- Harai-Men
- Harai-Kote

Variations

- Harai(age) 払い
- Osae　押さえ
- Uchiotoshi　打ち落とし
- Hari　張り
- Maki　巻き

From Omote or from Ura








## Oji waza 応じ技



## Nuki waza 抜き技

- Men-Nuki-Do
- Men-Nuki-Hidari-Do
- Men-Nuki-Kote
- Men-Nuki-Men
- Kote-Nuki-Men




## Suriage 擦り上げ技

- Men-Suriage-Men (OMOTE, URA)
- Kote-Suriage-Men (OMOTE, URA)
- Kote-Suriage-Kote
- Men-Suriage-Do




## Debana 出鼻

- Debana-Men
- Debana-Kote




## Kaeshi 返し技

- Men-Kaeshi-Do
- Kote-Kaeshi-Men
- Men-Kaeshi-Men
- Do-Kaeshi-Men




## Uchiotoshi 打ち落とし

- Ai-Kote-Men
- Do-uchiotoshi-Men
- Men-Uchiotoshi-Men
",2026-08-06T20:04:33-07:00
37,Mind work/mind-training.md,mind-training,"## Training mindset

The real voyage of discovery consists not in seeing new sights, but in looking with new eyes. (Marcel Proust)



## Why mindset matters a lot?

- The mind determines how we perceive things and how we think.
- The way we think influences the decisions, the choices we make.
- Our decisions shape our actions.
- What we have done and what we will do define ourselves and shape our future.



## What is mind?

- Mind is a powerful simulation tool that help us understand the world around us.



## Know ourselves, then we know which and how to improve

- knowing what I'm thinking
- knowing what I'm doing
- knowing the consequence of my actions



## Be a good communicator

- When we don't know if we're doing right or wrong, we need ask
- Before ask we think. think about our question, try to find our answers
- Communicate after thinking help us understand more things than just get feedback
- When we are taught by Sensei, reply if we hear it or understand it
- Communicate with the Sensei makes them know if they are communicating with us efficiently
- If we don't say anything, **no one** knows if we understand or not



## Mind is in a loop

- the mind as a feedback system has internal loops



## The cycle of improvement

- Be honest to ourselves
- Know ourself, how we do and how we think
- Know our good habit and bad habit
- Try to find a way to correct bad habit
- Try to improve good habit



## Focus meanwhile Relax

- Focus on the training and practice.
- Relax help us understand, because stubborn prevents us from improving
- Don't add pressure to ourselves, normally the pressure is not from opponent, but it's the refletion of our fearness.



## What is the mindset we're looking for?

- How to set goal and evaluate the goal
- How to solve problem by split hard one to easy pieces
- Self leadership
- Self improving
- Self learning
- Self awareness
- Self evaluation
- Cooperate with people
- enjoy and have fun


",2026-08-06T20:10:18-07:00
38,Suburi/素振り.md,素振り,"# 素振り

Suburi

## Suburi list

- Jogeburi
- Shomeuchi
- Sayu-men
- Sayu-doh
- Katate Suburi
- Matawari",2026-08-06T20:10:18-07:00
14,Record videos/video recording.md,video recording,"## What we're looking for in a video

- If the foot work is right
- If the body work is right
- If the arm moving and Shinai trajectory is right
- If the cutting angle (Hasuji)
- Check mindset at the moment and spirit
- Find **one or two** points that can be improved, especially the easy points



## Videos provide different angle to see ourselves

At practice, we can only see things in front.

Video records provide the way to see ourselves in the same moment but in different view.

We can use videos to check which parts we're doing right and which parts we're doing wrong
what is our strength and what is our weakness.

Even we got feedback from different Sensei and different people, if we cannot see what we're doing, we cannot understand.
Checking the difference between what is right as we know and what we are doing, then we can understand the comments.

Without understanding, the improvement is impossible.





## The essential way we can be better, is by watching and understanding ourselves.

Some people can build the feedback process by **self-awareness**, and also use help from video or feedback.

Video recording should help us think and understand how to improve, and it should encourage thinking.



## Understand what we have recorded.

Recording the video is a way to check what we know, without correct knowledge, it's hard to interpret what just happened.




## Recording Kamae

- Where is the kensen pointing
- Are both the feet facing forward
- How the foot push forward



## Recording Suburi

- See left hand's position when swing the Shinai and when cutting
- See if hands move first or body moves first?
- Sae **冴え**, does left foot catch up when cutting?
- Tenouchi or hammer-strike
- Where is center of gravity
- Shoulder tense




## There are many people in this video. How to know where am I?

- If you cannot tell where you're, maybe have your name on Kendo-Gi or Hakama.
- Advanced people can easily identify themselves, because I guess they watched themselves many times



## I have the video but it didn't catch the key part

- Try recording next time
- We cannot expect one video can catch everything
- Sometimes it's just because we were faraway from the camera in practice



## I forgot recording today, what should I do?

- It's ok, the good and bad habits repeat themselves, we can catch it next time.



## Where to store the video?

Video files are normally big and are about 1 ~ 2 hours.

Several factors help us to decide which method to choose:

- File size
- Cost
- Easy access video
- Privacy
- Sharing



## Store videos on personal computer or cell phone

- We can easily access the file
- It has limited storage
- If the device is broken, the video could be lost
- It' hard to share with other people



## Store videos on Portable HDD or SSD

- We can easily access the file
- It normally has bigger storage
- If the device is broken, the video could be lost
- It's a bit hard to share with many people



## Store videos on Cloud storage

- Normally has big storage
- Need download then access the data
- Need pay monthly or annual fee
- Easy to share with others
- Need internet access



## Store videos on Youtube

- Unlimited storage space
- Can access videos anywhere, but need internet access
- Need take time to upload the video
- Need set video as `unlisted` to share with other people, the data are still exposed to anyone
- It has privacy issue.
- I suggest to hide very old videos.
- the company may use your video to train their AI


",2026-08-06T20:04:33-07:00
39,Practice list/2025-10-01.md,2025-10-01,"## Practice content

- Warm up stretch
- Shomen Suburi
- Kiriaeshi
- Kihon Keiko
- Jikeiko
- Kakari Keiko
- Uchikomi
- Jumping Kikiraeshi
- BKKK
- Kata
",2026-08-06T20:10:18-07:00
16,Jodan/2026-05-07.md,2026-05-07,"
- [【剣道出稽古】お互いに上段の構えで対決する！右上段VS左上段。横山剣道倶楽部](https://www.youtube.com/watch?v=DIvr62aoQ_w)
",2026-08-06T20:04:33-07:00
40,Kata/2026-05-07.md,2026-05-07,"

- [【分かりやすい！日本剣道形徹底解説】小太刀３本　サトッシー四段挑戦への道](https://www.youtube.com/watch?v=Us0z1ZEjVRI)
",2026-08-06T20:10:18-07:00
41,Mind work/See ourselves.md,See ourselves,"


## Pending question

- how to record in first person view
- how to catch the details or highlight the details efficiently, using AI?
",2026-08-06T20:10:18-07:00
